  #time                     mass                      x-momentum                y-momentum                z-momentum                E_total                   E_kinetic                 E_internal                E_nuclear                 Grav_Potential            Peak Density              Peak Temperature          Minimum Gamc              Nickel Yield              Silicon Yield             Helium Yield              Carbon Yield              Nitrogen Yield            Oxygen Yield              Neon Yield                Magnesium Yield           Sulphur Yield             Argon Yield               Calcium Yield             Titanium Yield            Chromium Yield            52Fe Yield                54Fe Yield               
  0.000000000000000000E+00  2.546140778097642625E+35 -3.659096922445625560E+43  7.180052227855205594E+28  0.000000000000000000E+00  3.452170810442247610E+53  5.424261822749107174E+51  3.397928192214741053E+53  0.000000000000000000E+00 -3.460133265880720430E+53  2.329583976650376804E+06  2.316840579850115967E+10  3.200000000000000000E+01  4.636583213374474115E-11  4.820077551216408906E+00  3.368308253768884430E+00  8.348411566965991071E+00  2.919371930343016424E-22  9.870989829640545565E+01  6.612014353544218181E+00  4.564626380383798754E+00  1.203873597748026603E+00  2.123935496154207292E-01  1.648315471777130892E-01  1.450418519741299400E-04  6.102947102698005568E-05  2.315726026560506988E-05  1.280046666841968866E-98
  1.000000000000000036E-10  2.546140778097682839E+35 -3.659096922457816298E+43  1.535045648713871541E+29  0.000000000000000000E+00  3.452170810455076256E+53  5.424261822796354583E+51  3.397928192227097556E+53  1.533934232621651740E+51 -3.460133265891999089E+53  2.329583976694057696E+06  2.316840579851960373E+10  3.200000000000000000E+01  4.636579114445092908E-11  4.820077551339377209E+00  3.368308253775846417E+00  8.348411566946634110E+00  2.919372689413801834E-22  9.870989829628928192E+01  6.612014353508563147E+00  4.564626380375934822E+00  1.203873597797940675E+00  2.123935496087229480E-01  1.648315471850089753E-01  1.450418518371511599E-04  6.102947103503357040E-05  2.315726027063027919E-05  7.620401805194146366E-16
  2.249999999999999985E-10  2.546140778097720840E+35 -3.659096922473078613E+43  3.911890524141801669E+29  0.000000000000000000E+00  3.452170810471111211E+53  5.424261822855402878E+51  3.397928192242564241E+53  1.533852077171595751E+51 -3.460133265906148030E+53  2.329583976748658810E+06  2.316840579854266739E+10  3.200000000000000000E+01  4.636573990788521899E-11  4.820077551493094248E+00  3.368308253784552786E+00  8.348411566922379734E+00  2.919372693615981609E-22  9.870989829614431699E+01  6.612014353464035210E+00  4.564626380366123115E+00  1.203873597860338984E+00  2.123935496003515333E-01  1.648315471941299293E-01  1.450418516659329228E-04  6.102947104510046889E-05  2.315726027691171967E-05  1.714590485589515786E-15
  3.812500000000000018E-10  2.546140778097751092E+35 -3.659096922492162697E+43  6.783911415283883906E+29  0.000000000000000000E+00  3.452170810491146186E+53  5.424261822929236177E+51  3.397928192261845916E+53  1.533809933537032727E+51 -3.460133265923789969E+53  2.329583976816910785E+06  2.316840579857149124E+10  3.200000000000000000E+01  4.636567586225851984E-11  4.820077551685223227E+00  3.368308253795448515E+00  8.348411566892078639E+00  2.919372698868071560E-22  9.870989829596342702E+01  6.612014353408360634E+00  4.564626380353839608E+00  1.203873597938339479E+00  2.123935495898885140E-01  1.648315472055312814E-01  1.450418514519196268E-04  6.102947105768426141E-05  2.315726028476362700E-05  2.905278491027257060E-15
  5.765624999999999929E-10  2.546140778097808277E+35 -3.659096922515985615E+43  9.754967509568796566E+29  0.000000000000000000E+00  3.452170810516197774E+53  5.424261823021521818E+51  3.397928192285991927E+53  1.533855774161976668E+51 -3.460133265945882802E+53  2.329583976902225055E+06  2.316840579860752106E+10  3.200000000000000000E+01  4.636559580535075457E-11  4.820077551925374237E+00  3.368308253809042085E+00  8.348411566854231580E+00  2.919372705432134518E-22  9.870989829573639440E+01  6.612014353338748762E+00  4.564626380338497214E+00  1.203873598035834824E+00  2.123935495768115855E-01  1.648315472197828535E-01  1.450418511844171353E-04  6.102947107341382587E-05  2.315726029457849591E-05  4.393638691714611637E-15
  8.207031250000000336E-10  2.546140778097884647E+35 -3.659096922545801153E+43  1.411251644785333513E+30  0.000000000000000000E+00  3.452170810547513110E+53  5.424261823136866907E+51  3.397928192316124356E+53  1.533837671966313901E+51 -3.460133265973486933E+53  2.329583977008868009E+06  2.316840579865256119E+10  3.200000000000000000E+01  4.636549573441248238E-11  4.820077552225590090E+00  3.368308253826043597E+00  8.348411566806898776E+00  2.919372713635618070E-22  9.870989829545371208E+01  6.612014353251738363E+00  4.564626380319331211E+00  1.203873598157720437E+00  2.123935495604662993E-01  1.648315472375979640E-01  1.450418508500601086E-04  6.102947109307589325E-05  2.315726030684702954E-05  6.254089245498244512E-15
  1.125878906250000007E-09  2.546140778097967288E+35 -3.659096922583028486E+43  2.012890503878028327E+30  0.000000000000000000E+00  3.452170810586670252E+53  5.424261823281062224E+51  3.397928192353868051E+53  1.533848364017065015E+51 -3.460133266008001348E+53  2.329583977142171934E+06  2.316840579870885468E+10  3.200000000000000000E+01  4.636537064604646314E-11  4.820077552600884552E+00  3.368308253847307476E+00  8.348411566747730106E+00  2.919372723887473879E-22  9.870989829509977653E+01  6.612014353143021772E+00  4.564626380295381480E+00  1.203873598310068571E+00  2.123935495400400553E-01  1.648315472598672615E-01  1.450418504321484181E-04  6.102947111765339447E-05  2.315726032218269658E-05  8.579652910983312713E-15
  1.507348632812499973E-09  2.546140778098074279E+35 -3.659096922629558196E+43  2.490735359042185113E+30  0.000000000000000000E+00  3.452170810635612215E+53  5.424261823461306205E+51  3.397928192401016725E+53  1.533852061871077928E+51 -3.460133266051137668E+53  2.329583977308802307E+06  2.316840579877922821E+10  3.200000000000000000E+01  4.636521428606854391E-11  4.820077553069939569E+00  3.368308253873878222E+00  8.348411566673785700E+00  2.919372736698372426E-22  9.870989829465733578E+01  6.612014353007083400E+00  4.564626380265414340E+00  1.203873598500508013E+00  2.123935495145117813E-01  1.648315472877049104E-01  1.450418499098119580E-04  6.102947114837529302E-05  2.315726034135237355E-05  1.148660823218118958E-14
  1.984185791015625190E-09  2.546140778098221853E+35 -3.659096922687779506E+43  3.374624547091946629E+30  0.000000000000000000E+00  3.452170810696776269E+53  5.424261823686597058E+51  3.397928192459946825E+53  1.533871775583822718E+51 -3.460133266105015851E+53  2.329583977517089806E+06  2.316840579886720276E+10  3.200000000000000000E+01  4.636501883684531039E-11  4.820077553656263447E+00  3.368308253907099648E+00  8.348411566581344090E+00  2.919372752705890563E-22  9.870989829410407879E+01  6.612014352837178421E+00  4.564626380227974067E+00  1.203873598738554485E+00  2.123935494826088566E-01  1.648315473225031580E-01  1.450418492569742295E-04  6.102947118677774075E-05  2.315726036531440707E-05  1.512030353866481046E-14
  2.580232238769531556E-09  2.546140778098405583E+35 -3.659096922760496599E+43  4.459060021505939750E+30  0.000000000000000000E+00  3.452170810773240269E+53  5.424261823968215277E+51  3.397928192533548200E+53  1.533889227216432404E+51 -3.460133266172430041E+53  2.329583977777449414E+06  2.316840579897717285E+10  3.200000000000000000E+01  4.636477452648687446E-11  4.820077554389149199E+00  3.368308253948595787E+00  8.348411566465799183E+00  2.919372772705742984E-22  9.870989829341277755E+01  6.612014352624813185E+00  4.564626380181181275E+00  1.203873599036114683E+00  2.123935494427442172E-01  1.648315473660029729E-01  1.450418484410578575E-04  6.102947123478081226E-05  2.315726039526697609E-05  1.966242447597691085E-14
