  #time                     mass                      x-momentum                y-momentum                z-momentum                E_total                   E_kinetic                 E_internal                E_nuclear                 Grav_Potential            Peak Density              Peak Temperature          Minimum Gamc              Nickel Yield              Silicon Yield             Helium Yield              Carbon Yield              Nitrogen Yield            Oxygen Yield              Neon Yield                Magnesium Yield           Sulphur Yield             Argon Yield               Calcium Yield             Titanium Yield            Chromium Yield            52Fe Yield                54Fe Yield               
  0.000000000000000000E+00  2.562357978795712134E+35  1.159365152266849553E+44  0.000000000000000000E+00  0.000000000000000000E+00  3.454654427247383044E+53  3.246176630834187555E+52  3.130036764163963331E+53  0.000000000000000000E+00 -2.643180982481697421E+53  3.499110155474374769E+05  2.451090905696666718E+09  1.262310471451050020E+00  3.387221646404491793E+01  2.460396096103026764E+01  2.481633572906258856E+00  4.894935389667896430E+00  1.288199709884725221E-98  3.529041969803580514E+01  2.669044994394912163E+00  2.554768470431903804E+00  1.531498725000314920E+01  3.099695521907591012E+00  3.307173958660232227E+00  3.058094739959739232E-03  1.853329776192351452E-02  3.801662593086164166E-01  3.293738312065446205E-01
  2.084185791015624845E-09  2.562357978795711396E+35  1.159365152351957237E+44  0.000000000000000000E+00  0.000000000000000000E+00  3.454654426911112181E+53  3.246176631314878402E+52  3.130036763779621203E+53 -5.318888855693209751E+49 -2.643180982146705169E+53  3.499110154118385399E+05  2.451090905399471283E+09  1.262310471448344851E+00  3.387221646366790395E+01  2.460396096096212304E+01  2.481633572882624428E+00  4.894935389671166703E+00  1.793267243953785427E-27  3.529041969801150458E+01  2.669044994400034732E+00  2.554768470491509014E+00  1.531498724998887617E+01  3.099695521953682587E+00  3.307173958669624270E+00  3.058094742229069355E-03  1.853329776242991500E-02  3.801662593094663478E-01  3.293738315732084310E-01
  2.190446049250313143E-08  2.562357978795711765E+35  1.159365153161316096E+44  0.000000000000000000E+00  0.000000000000000000E+00  3.454654423713213784E+53  3.246176635886182804E+52  3.130036760124595556E+53 -5.311231576418033360E+49 -2.643180978960986329E+53  3.499110141223143437E+05  2.451090902573166370E+09  1.262310471422523284E+00  3.387221646008278952E+01  2.460396096031414714E+01  2.481633572657872655E+00  4.894935389702233408E+00  1.793384814282902355E-27  3.529041969778030108E+01  2.669044994448742880E+00  2.554768471058350254E+00  1.531498724985324422E+01  3.099695522392033720E+00  3.307173958758913290E+00  3.058094763810015153E-03  1.853329776724559411E-02  3.801662593175459404E-01  3.293738350600350917E-01
  2.064951531382569226E-07  2.562357978795712503E+35  1.159365160699061294E+44  0.000000000000000000E+00  0.000000000000000000E+00  3.454654393930497282E+53  3.246176678459765220E+52  3.130036726084521717E+53 -5.309244274381264963E+49 -2.643180949291651911E+53  3.499110021126844804E+05  2.451090876252158165E+09  1.262310471182088278E+00  3.387221642670179023E+01  2.460396095427917373E+01  2.481633570564685254E+00  4.894935389991623254E+00  1.794479808651383681E-27  3.529041969562707237E+01  2.669044994902359580E+00  2.554768476337486494E+00  1.531498724858993654E+01  3.099695526474487206E+00  3.307173959590476997E+00  3.058094964798249021E-03  1.853329781209508975E-02  3.801662593927908618E-01  3.293738675259647031E-01
  1.925629944387235962E-06  2.562357978795710658E+35  1.159365230899768703E+44  0.000000000000000000E+00  0.000000000000000000E+00  3.454654116560527556E+53  3.246177074957115185E+52  3.130036409064816144E+53 -5.278277408944058531E+49 -2.643180672974485204E+53  3.499108902644066256E+05  2.451090631217744350E+09  1.262310468942856811E+00  3.387221611657185605E+01  2.460396089807488451E+01  2.481633551070466570E+00  4.894935392686752706E+00  1.804680603420685508E-27  3.529041967557370185E+01  2.669044999126878093E+00  2.554768525503040344E+00  1.531498723682398477E+01  3.099695564495193789E+00  3.307173967335141906E+00  3.058096836648455108E-03  1.853329822978853209E-02  3.801662600935621361E-01  3.293741691605753807E-01
  1.793632034335765406E-05  2.562357978795711396E+35  1.159365884694589967E+44  0.000000000000000000E+00  0.000000000000000000E+00  3.454651533818684623E+53  3.246180767624510366E+52  3.130033457056232630E+53 -4.739866176057834780E+49 -2.643178099572433221E+53  3.499098486062009470E+05  2.451088365741569042E+09  1.262310448088675319E+00  3.387221333930735057E+01  2.460396037467931762E+01  2.481633369524758770E+00  4.894935417786129506E+00  1.899779472463028724E-27  3.529041948882949242E+01  2.669045038459545438E+00  2.554768983371666913E+00  1.531498712720319944E+01  3.099695918580147147E+00  3.307174039475963223E+00  3.058114269736313812E-03  1.853330211985008968E-02  3.801662666200212315E-01  3.293768712714878477E-01
  1.670474943807622142E-04  2.562357978795712872E+35  1.159371973614220503E+44  0.000000000000000000E+00  0.000000000000000000E+00  3.454627537605409529E+53  3.246215158075243260E+52  3.130006021797884565E+53  6.455814744197952545E+48 -2.643154133080673569E+53  3.499001482905219891E+05  2.451068583565951347E+09  1.262310253888266898E+00  3.387220113843261515E+01  2.460395550430511236E+01  2.481631679474870733E+00  4.894935651457748449E+00  2.729125295385047202E-27  3.529041775113088875E+01  2.669045403801271643E+00  2.554773245758977129E+00  1.531498610266593552E+01  3.099699215341382263E+00  3.307174712468747835E+00  3.058276638815234181E-03  1.853333834785852313E-02  3.801663274040920637E-01  3.293888601838693142E-01
  1.555753519465285454E-03  2.562357978795713978E+35  1.159428679654169450E+44  0.000000000000000000E+00  0.000000000000000000E+00  3.454404527198155661E+53  3.246535423128361997E+52  3.129750984885320259E+53  2.291008012909777240E+49 -2.642930943561562334E+53  3.498098839056601864E+05  2.450887667530155182E+09  1.262308446930006101E+00  3.387219668225558422E+01  2.460391049844528411E+01  2.481616002350114591E+00  4.894937820351355384E+00  6.049582262082770408E-27  3.529040169669242033E+01  2.669048722005503915E+00  2.554812781878410544E+00  1.531497625754136926E+01  3.099729836116427162E+00  3.307181077448575479E+00  3.059789764611925682E-03  1.853367566026195568E-02  3.801668936410911304E-01  3.293952366038961910E-01
  1.448908622612274030E-02  2.562357978795714716E+35  1.159956672317117736E+44  0.000000000000000000E+00  0.000000000000000000E+00  3.452329062390782175E+53  3.249516617112025531E+52  3.127377400679581855E+53  2.240400946660494380E+49 -2.640853698366408987E+53  3.489758981502769748E+05  2.449217025784379959E+09  1.262291762475663548E+00  3.387221603345563636E+01  2.460351981522555675E+01  2.481475417559531049E+00  4.894957607976043512E+00  1.048963735349285307E-26  3.529026270487261741E+01  2.669071014347494053E+00  2.555165710072615504E+00  1.531486629890590834E+01  3.100005623733312454E+00  3.307248151933320557E+00  3.073971488974105992E-03  1.853680925958225631E-02  3.801721700576496388E-01  3.293956227404616355E-01
  1.231512522573662283E-01  2.562357978795718037E+35  1.164381654734691000E+44  0.000000000000000000E+00  0.000000000000000000E+00  3.434979907403991293E+53  3.274889867893859057E+52  3.107490920614604005E+53  1.979934896409356218E+49 -2.624039307535243157E+53  3.424417742008517380E+05  2.436152569931348324E+09  1.262161303824142600E+00  3.387241096470326340E+01  2.460118873752371726E+01  2.480578224280126420E+00  4.895082066829520073E+00  1.534233750520443037E-26  3.528961555543663309E+01  2.668752755051535086E+00  2.557059449361184456E+00  1.531417128945332351E+01  3.101707762959613479E+00  3.308036412544567373E+00  3.201216952066945898E-03  1.856246037437712937E-02  3.802084096509686928E-01  3.293917647567931040E-01
